îNìx,ìsç¬écçÇÅiâ≠â~Åj,ìsç¬î≠çsäzÅiâ≠â~Åj
1993,"33,402","10,585"
1994,"40,627","8,040"
1995,"48,969","9,116"
1996,"54,462","6,233"
1997,"58,751","5,022"
1998,"65,148","7,059"
1999,"71,711","7,265"
2000,"74,038","3,852"
2001,"76,384","3,075"
2002,"68,759","3,467"
2003,"68,247","4,371"
2004,"68,656","4,804"
2005,"66,686","2,701"
2006,"66,091","1,895"
2007,"64,338","1,302"
2008,"62,569","2,827"
2009,"63,518","4,567"
2010,"63,383","3,304"
2011,"65,237","4,303"
2012,"65,720","3,199"
2013,"62,795","2,048"
2014,"58,931","1,390"
2015,"56,160","1,298"
2016,"54,342","1,244"
2017,"52,347","1,126"
2018,"50,551","1,123"
2019,"48,129","1,119"
2020,"49,921","4,712"
2021,"49,084","2,243"
2022,"48,140","2,097"
2023,"46,973","1,993"
2024,"43,986","1,004"
2025,"42,491","1,849"
2026,"42,372","2,226"
