年度,区分,区分2,基金名,区分3,金額（億円）
2026,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金,2025年度末残高（最終補正後）,"3,257"
2026,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金,2026年度積立額,0
2026,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金,2026年度取崩額,"-2,652"
2026,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金,2026年度末残高,635
2026,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2025年度末残高（最終補正後）,0
2026,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2026年度積立額,0
2026,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2026年度取崩額,0
2026,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2026年度末残高,0
2026,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2025年度末残高（最終補正後）,"3,049"
2026,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2026年度積立額,68
2026,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2026年度取崩額,"-1,844"
2026,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2026年度末残高,"1,305"
2026,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2025年度末残高（最終補正後）,"1,811"
2026,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2026年度積立額,57
2026,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2026年度取崩額,-100
2026,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2026年度末残高,"1,779"
2026,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2025年度末残高（最終補正後）,724
2026,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2026年度積立額,0
2026,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2026年度取崩額,-723
2026,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2026年度末残高,5
2026,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2025年度末残高（最終補正後）,145
