年度,区分,区分2,金額（億円）
2018,都税収入,法人二税,"18,690"
2018,都税収入,繰入地方消費税,"5,400"
2018,都税収入,固定資産税・都市計画税,"14,808"
2018,都税収入,その他の税,"13,433"
2018,都税収入,端数調整（都税）,1
2018,地方譲与税,地方譲与税,"2,458"
2018,国庫支出金,国庫支出金,"3,534"
2018,繰入金,繰入金,"4,503"
2018,都債,都債,"2,107"
2018,その他の収入,助成交付金,0
2018,その他の収入,地方特例交付金,61
2018,その他の収入,特別交付金,31
2018,その他の収入,分担金及負担金,166
2018,その他の収入,使用料及手数料,876
2018,その他の収入,財産収入,443
2018,その他の収入,寄附金,1
2018,その他の収入,諸収入,"3,949"
2018,その他の収入,繰越金,0
2018,その他の収入,端数調整,-1
2019,都税収入,法人二税,"20,578"
2019,都税収入,繰入地方消費税,"5,338"
2019,都税収入,固定資産税・都市計画税,"15,262"
2019,都税収入,その他の税,"13,854"
2019,地方譲与税,地方譲与税,"2,908"
2019,国庫支出金,国庫支出金,"3,621"
2019,繰入金,繰入金,"5,969"
2019,都債,都債,"2,096"
2019,その他の収入,助成交付金,0
2019,その他の収入,地方特例交付金,203
2019,その他の収入,特別交付金,30
2019,その他の収入,分担金及負担金,152
2019,その他の収入,使用料及手数料,878
2019,その他の収入,財産収入,357
2019,その他の収入,寄附金,1
2019,その他の収入,諸収入,"3,364"
2019,その他の収入,繰越金,0
2019,端数調整,端数調整,-1
2020,都税収入,法人二税,"17,996"
2020,都税収入,繰入地方消費税,"6,912"
2020,都税収入,固定資産税・都市計画税,"15,670"
2020,都税収入,その他の税,"13,868"
2020,地方譲与税,地方譲与税,529
2020,国庫支出金,国庫支出金,"3,780"
2020,繰入金,繰入金,"7,701"
2020,都債,都債,"2,084"
2020,その他の収入,助成交付金,0
2020,その他の収入,地方特例交付金,79
2020,その他の収入,特別交付金,30
2020,その他の収入,分担金及負担金,187
2020,その他の収入,使用料及手数料,882
2020,その他の収入,財産収入,358
2020,その他の収入,寄附金,1
2020,その他の収入,諸収入,"3,463"
2020,その他の収入,繰越金,0
2021,都税収入,法人二税,"14,388"
2021,都税収入,繰入地方消費税,"6,815"
2021,都税収入,固定資産税・都市計画税,"15,772"
2021,都税収入,その他の税,"13,475"
2021,地方譲与税,地方譲与税,448
2021,国庫支出金,国庫支出金,"3,817"
2021,繰入金,繰入金,"8,357"
2021,都債,都債,"5,876"
2021,その他の収入,助成交付金,0
2021,その他の収入,地方特例交付金,199
2021,その他の収入,特別交付金,30
2021,その他の収入,分担金及負担金,211
2021,その他の収入,使用料及手数料,874
2021,その他の収入,財産収入,420
2021,その他の収入,寄附金,1
2021,その他の収入,諸収入,"3,568"
2021,その他の収入,繰越金,0
2021,その他の収入,端数調整,-1
2022,都税収入,法人二税,"19,138"
2022,都税収入,繰入地方消費税,"6,567"
2022,都税収入,固定資産税・都市計画税,"16,283"
2022,都税収入,その他の税,"14,319"
2022,都税収入,端数調整,1
2022,地方譲与税,地方譲与税,492
2022,国庫支出金,国庫支出金,"7,422"
2022,繰入金,繰入金,"5,673"
2022,都債,都債,"2,946"
2022,その他の収入,助成交付金,0
2022,その他の収入,地方特例交付金,77
2022,その他の収入,特別交付金,31
2022,その他の収入,分担金及負担金,207
2022,その他の収入,使用料及手数料,856
2022,その他の収入,財産収入,439
2022,その他の収入,寄附金,1
2022,その他の収入,諸収入,"3,560"
2022,その他の収入,繰越金,0
2022,その他の収入,端数調整,-1
2022,,端数調整,-1
2023,都税収入,法人二税,"22,089"
2023,都税収入,繰入地方消費税,"7,690"
2023,都税収入,固定資産税・都市計画税,"17,174"
2023,都税収入,その他の税,"15,057"
2023,地方譲与税,地方譲与税,672
2023,国庫支出金,国庫支出金,"3,881"
2023,繰入金,繰入金,"5,016"
2023,都債,都債,"2,908"
2023,その他の収入,助成交付金,0
2023,その他の収入,地方特例交付金,73
2023,その他の収入,特別交付金,32
2023,その他の収入,分担金及負担金,249
2023,その他の収入,使用料及手数料,846
2023,その他の収入,財産収入,475
2023,その他の収入,寄附金,1
2023,その他の収入,諸収入,"4,248"
2023,その他の収入,繰越金,0
2023,その他の収入,端数調整,-1
2024,都税収入,法人二税,"23,016"
2024,都税収入,繰入地方消費税,"7,524"
2024,都税収入,固定資産税・都市計画税,"17,794"
2024,都税収入,その他の税,"15,531"
2024,地方譲与税,地方譲与税,638
2024,国庫支出金,国庫支出金,"3,785"
2024,繰入金,繰入金,"7,146"
2024,都債,都債,"3,127"
2024,その他の収入,助成交付金,0
2024,その他の収入,地方特例交付金,442
2024,その他の収入,特別交付金,31
2024,その他の収入,分担金及負担金,293
2024,その他の収入,使用料及手数料,832
2024,その他の収入,財産収入,407
2024,その他の収入,寄附金,1
2024,その他の収入,諸収入,"3,962"
2024,その他の収入,繰越金,0
2024,その他の収入,端数調整,1
2025,都税収入,法人二税,"25,362"
2025,都税収入,繰入地方消費税,"8,159"
2025,都税収入,固定資産税・都市計画税,"18,246"
2025,都税収入,その他の税,"17,529"
2025,地方譲与税,地方譲与税,828
2025,国庫支出金,国庫支出金,"4,240"
2025,繰入金,繰入金,"7,297"
2025,都債,都債,"2,034"
2025,その他の収入,助成交付金,0
2025,その他の収入,地方特例交付金,62
2025,その他の収入,特別交付金,31
2025,その他の収入,分担金及負担金,233
2025,その他の収入,使用料及手数料,855
2025,その他の収入,財産収入,509
2025,その他の収入,寄附金,1
2025,その他の収入,諸収入,"6,194"
2025,その他の収入,繰越金,0
2025,その他の収入,端数調整,1
2026,都税収入,法人二税,"27,126"
2026,都税収入,繰入地方消費税,"9,216"
2026,都税収入,固定資産税・都市計画税,"18,541"
2026,都税収入,その他の税,"18,973"
