年度,区分,区分２,金額（億円）
2018,法人二税,法人二税,"18,690"
2018,繰入地方消費税,繰入地方消費税,"5,400"
2018,固定資産税・都市計画税,固定資産税,"12,407"
2018,固定資産税・都市計画税,都市計画税,"2,401"
2018,その他の税,個人都民税,"9,126"
2018,その他の税,都民税利子割,67
2018,その他の税,不動産取得税,827
2018,その他の税,自動車税,"1,052"
2018,その他の税,事業所税,"1,065"
2018,その他の税,宿泊税,25
2018,その他の税,その他,"1,272"
2018,その他の税,端数調整（他）,-1
2019,法人二税,法人二税,"20,578"
2019,繰入地方消費税,繰入地方消費税,"5,338"
2019,固定資産税・都市計画税,固定資産税,"12,772"
2019,固定資産税・都市計画税,都市計画税,"2,490"
2019,その他の税,個人都民税,"9,516"
2019,その他の税,都民税利子割,74
2019,その他の税,不動産取得税,873
2019,その他の税,自動車税,"1,082"
2019,その他の税,事業所税,"1,098"
2019,その他の税,宿泊税,28
2019,その他の税,その他,"1,183"
2020,法人二税,法人二税,"17,996"
2020,繰入地方消費税,繰入地方消費税,"6,912"
2020,固定資産税・都市計画税,固定資産税,"13,126"
2020,固定資産税・都市計画税,都市計画税,"2,544"
2020,その他の税,個人都民税,"9,620"
2020,その他の税,都民税利子割,70
2020,その他の税,不動産取得税,803
2020,その他の税,自動車税,"1,135"
2020,その他の税,事業所税,"1,120"
2020,その他の税,宿泊税,22
2020,その他の税,その他,"1,097"
2020,その他の税,端数調整（他）,1
2021,法人二税,法人二税,"14,388"
2021,繰入地方消費税,繰入地方消費税,"6,815"
2021,固定資産税・都市計画税,固定資産税,"13,218"
2021,固定資産税・都市計画税,都市計画税,"2,554"
2021,その他の税,個人都民税,"9,372"
2021,その他の税,都民税利子割,67
2021,その他の税,不動産取得税,754
2021,その他の税,自動車税,"1,096"
2021,その他の税,事業所税,"1,137"
2021,その他の税,宿泊税,7
2021,その他の税,その他,"1,042"
2022,法人二税,法人二税,"19,138"
2022,繰入地方消費税,繰入地方消費税,"6,567"
2022,固定資産税・都市計画税,固定資産税,"13,649"
2022,固定資産税・都市計画税,都市計画税,"2,635"
2022,固定資産税・都市計画税,端数調整（固・都）,-1
2022,その他の税,個人都民税,"10,080"
2022,その他の税,都民税利子割,60
2022,その他の税,不動産取得税,792
2022,その他の税,自動車税,"1,151"
2022,その他の税,事業所税,"1,136"
2022,その他の税,宿泊税,8
2022,その他の税,その他,"1,093"
2022,その他の税,端数調整（他）,-1
2023,法人二税,法人二税,"22,089"
2023,繰入地方消費税,繰入地方消費税,"7,690"
2023,固定資産税・都市計画税,固定資産税,"14,385"
2023,固定資産税・都市計画税,都市計画税,"2,789"
2023,その他の税,個人都民税,"10,534"
2023,その他の税,都民税利子割,86
2023,その他の税,不動産取得税,941
2023,その他の税,自動車税,"1,147"
2023,その他の税,事業所税,"1,175"
2023,その他の税,宿泊税,17
2023,その他の税,その他,"1,157"
2024,法人二税,法人二税,"23,016"
2024,繰入地方消費税,繰入地方消費税,"7,524"
2024,固定資産税・都市計画税,固定資産税,"14,894"
2024,固定資産税・都市計画税,都市計画税,"2,901"
2024,固定資産税・都市計画税,端数調整（固・都）,-1
2024,その他の税,個人都民税,"10,911"
2024,その他の税,都民税利子割,93
2024,その他の税,不動産取得税,973
2024,その他の税,自動車税,"1,160"
2024,その他の税,事業所税,"1,199"
2024,その他の税,宿泊税,48
2024,その他の税,その他,"1,147"
2025,法人二税,法人二税,"25,362"
2025,繰入地方消費税,繰入地方消費税,"8,159"
2025,固定資産税・都市計画税,固定資産税,"15,284"
2025,固定資産税・都市計画税,都市計画税,"2,962"
2025,固定資産税・都市計画税,端数調整（固・都）,0
2025,その他の税,個人都民税,"12,451"
2025,その他の税,都民税利子割,310
2025,その他の税,不動産取得税,"1,027"
2025,その他の税,自動車税,"1,193"
2025,その他の税,事業所税,"1,317"
2025,その他の税,宿泊税,69
2025,その他の税,その他,"1,162"
2026,法人二税,法人二税,27126
2026,繰入地方消費税,繰入地方消費税,9216
2026,固定資産税・都市計画税,固定資産税,15532
2026,固定資産税・都市計画税,都市計画税,3009
2026,固定資産税・都市計画税,端数調整（固・都）,0
2026,その他の税,個人都民税,14071
2026,その他の税,都民税利子割,443
2026,その他の税,不動産取得税,1068
2026,その他の税,自動車税,969
2026,その他の税,事業所税,1313
2026,その他の税,宿泊税,81
2026,その他の税,その他,1028
